date,price
2020-09-13,8.03
2020-09-20,7.81
2020-09-27,8.22
2020-10-04,8.5
2020-10-11,8.16
2020-10-18,8.3
2020-10-25,7.98
2020-11-01,8.03
2020-11-08,8.21
2020-11-15,8.21
2020-11-22,8.38
2020-11-29,8.33
2020-12-06,8.35
2020-12-13,8.24
2020-12-20,8.25
2020-12-27,8.62
2021-01-03,9.06
2021-01-10,9.31
2021-01-17,9.48
2021-01-24,9.29
2021-01-31,8.85
2021-02-07,8.2
2021-02-14,8.55
2021-02-21,9.46
2021-02-28,9.57
2021-03-07,9.24
2021-03-14,9.21
2021-03-21,9.39
2021-03-28,9.46
2021-04-04,9.41
2021-04-11,8.98
2021-04-18,8.91
2021-04-25,9.17
2021-05-02,8.96
2021-05-09,8.96
2021-05-16,8.89
2021-05-23,8.78
2021-05-30,8.78
2021-06-06,8.32
2021-06-13,7.78
2021-06-20,7.28
2021-06-27,7.11
2021-07-04,6.9
2021-07-11,6.96
2021-07-18,7.12
2021-07-25,6.86
2021-08-01,6.63
2021-08-08,6.55
2021-08-15,6.69
2021-08-22,7.81
2021-08-29,7.82
2021-09-05,7.86
2021-09-12,7.78
2021-09-19,8.0
2021-09-26,8.22
2021-10-03,8.39
2021-10-10,8.71
2021-10-17,8.83
2021-10-24,9.0
2021-10-31,9.7
